#{"t_start": 1716949820.8427901, "env_id": "None"}
r,l,t
-0.08,8,15.556372
-0.06,6,15.570922
-0.09,9,15.592515
-0.13,13,15.623638
-0.05,5,15.634672
-0.07,7,15.653733
-0.07,7,15.670794
-0.05,5,15.682355
-0.06,6,15.69639
-0.21,21,15.745076
-0.09,9,15.768135
-0.16,16,15.806274
-0.03,3,15.813307
-0.04,4,15.823334
-0.08,8,15.841891
-0.04,4,15.850915
-0.05,5,15.866472
-0.11,11,15.905549
-0.11,11,15.931683
-0.11,11,15.956746
-0.05,5,15.969273
-0.07,7,15.994545
-0.18,18,16.038147
-0.25,25,16.144497
-0.06,6,16.179688
-0.14,14,16.236673
-0.07,7,16.265238
-0.07,7,16.290845
-0.06,6,16.314865
-0.27,27,16.379022
-0.04,4,16.389046
-0.21,21,16.446668
-0.09,9,16.470739
-0.3,30,16.556931
-0.1,10,16.580985
-0.12,12,16.609061
-0.11,11,16.646105
-0.04,4,16.661692
-0.22,22,16.74497
-0.16,16,16.816176
-0.07,7,16.83674
-0.1,10,16.867347
-0.11,11,16.921494
-0.17,17,16.976876
-0.03,3,16.986392
-0.08,8,17.008964
-0.12,12,17.043588
-0.07,7,17.061645
-0.11,11,17.094277
-0.12,12,17.128488
-0.1,10,17.15306
-0.1,10,17.183136
-0.14,14,17.217194
-0.34,34,17.353816
-0.23,23,17.467388
-0.03,3,17.473898
-0.23,23,17.546536
-0.13,13,17.580134
-0.26,26,17.669297
-0.03,3,17.678828
-0.07,7,17.69586
-0.03,3,17.703377
-0.42,42,17.865976
-0.11,11,17.909541
-0.1,10,17.956803
-0.21,21,18.021473
-0.06,6,18.036512
-0.1,10,18.08067
-0.1,10,18.110766
-0.27,27,18.184028
-0.1,10,18.212603
-0.15,15,18.257727
-0.18,18,18.307363
-0.06,6,18.3219
-0.03,3,18.32841
-0.07,7,18.343946
-0.06,6,18.358481
-0.23,23,18.443965
-0.1,10,18.49131
-0.13,13,18.574082
-0.04,4,18.605637
-0.04,4,18.632715
-0.1,10,18.656946
-0.1,10,18.686254
-0.18,18,18.741079
-0.09,9,18.760643
-0.17,17,18.801051
-0.06,6,18.821102
-0.18,18,18.886427
-0.08,8,21.512089
-0.04,4,21.522108
-0.05,5,21.533126
-0.17,17,21.573212
-0.25,25,21.651484
-0.05,5,21.665538
-0.1,10,21.697686
-0.15,15,21.775716
-0.05,5,21.794321
-0.32,32,21.888394
-0.05,5,21.899428
-0.03,3,21.907453
-0.14,14,21.953081
-0.23,23,22.00678
-0.06,6,22.019324
