#{"t_start": 1716825943.2635386, "env_id": "None"}
r,l,t
-10.1,11,10.981046
-10.54,55,11.069184
-10.44,45,11.139434
-10.04,5,11.145939
-10.04,5,11.16255
-10.26,27,11.205112
-10.24,25,11.260539
-10.18,19,11.300096
-10.05,6,11.334167
-10.32,33,11.404751
-10.15,16,11.43028
-10.24,25,11.470367
-10.04,5,11.484624
-10.04,5,11.491696
-10.04,5,11.498946
-10.65,66,11.60345
-10.04,5,11.617036
-10.12,13,11.636752
-10.13,14,11.661369
-10.08,9,11.67488
-10.2,21,11.71046
-10.15,16,11.737577
-10.28,29,11.781488
-10.15,16,11.803502
-10.02,3,11.812011
-10.02,3,11.818012
-10.16,17,11.847579
-10.91,92,11.98732
-10.05,6,12.001926
-10.09,10,12.016945
-10.02,3,12.022946
-10.58,59,12.116529
-10.02,3,12.121032
-10.46,47,12.203977
-10.16,17,12.229009
-10.09,10,12.246063
-10.21,22,12.289359
-10.16,17,12.325036
-10.08,9,12.33805
-10.1,11,12.355244
-10.29,30,12.409467
-10.03,4,12.415474
-10.08,9,12.43249
-10.03,4,12.444997
-10.04,5,12.467017
-10.03,4,12.481527
-10.02,3,12.484037
-10.15,16,12.527679
-10.03,4,12.540189
-10.36,37,12.624476
-10.33,34,12.68357
-10.12,13,12.708107
-10.02,3,12.719318
-11.22,123,12.938577
-10.06,7,12.951088
-10.15,16,12.980617
-10.28,29,13.031687
-10.1,11,13.053704
-10.09,10,13.069729
-10.18,19,13.105268
-10.02,3,13.117015
-10.07,8,13.134567
-10.03,4,13.149596
-10.14,15,13.179759
-10.1,11,13.207459
-10.04,5,13.213962
-10.06,7,13.228087
-10.03,4,13.235601
-10.03,4,13.246114
-10.07,8,13.264236
-10.07,8,13.278658
-10.04,5,13.287176
-10.05,6,13.303988
-10.14,15,13.335061
-10.37,38,13.404647
-10.06,7,13.419178
-10.02,3,13.429689
-10.1,11,13.447713
-10.58,59,13.554347
-10.21,22,13.5954
-10.61,62,13.77792
-10.02,3,13.78289
-10.02,3,13.789429
499.9,11,13.806623
-10.48,49,13.889046
-10.8,81,14.017604
-10.18,19,14.047623
-10.11,12,14.066735
-10.05,6,14.078282
-10.19,20,14.110895
-10.26,27,14.157608
-10.05,6,14.166121
-10.04,5,14.180249
-10.04,5,14.188398
-10.04,5,14.195908
-10.03,4,14.20352
-10.05,6,14.22
-10.06,7,14.229509
-10.08,9,14.250101
-10.05,6,14.258615
-10.07,8,14.275631
-10.09,10,14.293144
-10.03,4,14.300653
-10.04,5,14.307438
-10.02,3,14.315942
-10.04,5,14.322947
-10.04,5,14.330031
-10.04,5,14.338124
-10.05,6,14.355603
-10.51,52,14.43859
-10.1,11,14.457736
-10.02,3,14.459867
-10.45,46,14.53251
-10.06,7,14.543989
-10.03,4,14.549989
-10.04,5,14.557496
-10.02,3,14.568619
-10.05,6,14.576124
-10.28,29,14.624242
-10.13,14,14.648052
-10.37,38,14.715595
-10.05,6,14.728625
-10.22,23,14.774674
-10.09,10,14.791691
-10.12,13,14.829225
-10.09,10,14.856755
-10.14,15,14.894282
-10.06,7,14.910924
-10.12,13,14.95511
-10.02,3,14.959639
-10.02,3,14.966606
-10.1,11,14.983655
-10.03,4,14.994163
-10.02,3,14.999163
-10.02,3,15.004216
-10.3,31,15.061248
-10.23,24,15.114123
-10.4,41,15.187693
-10.08,9,15.217784
-10.04,5,15.227315
-10.1,11,15.250342
-10.18,19,15.279443
-10.06,7,15.292952
-10.04,5,15.299461
-10.43,44,15.377814
-10.49,50,15.459962
-10.04,5,15.467479
-10.02,3,15.473479
-10.02,3,15.482994
-10.06,7,15.492504
-10.66,67,15.605335
-10.04,5,15.612372
-10.02,3,15.621569
-10.15,16,15.648722
-10.04,5,15.654719
-11.41,142,15.887536
-10.07,8,15.90357
-10.03,4,15.910576
-10.04,5,15.918086
499.84,17,15.943108
-10.74,75,16.139182
-10.3,31,16.21802
-10.04,5,16.227025
-10.05,6,16.241051
-10.14,15,16.270593
-10.12,13,16.299624
-10.24,25,16.355251
-10.21,22,16.401308
-10.16,17,16.440187
-10.07,8,16.45946
-10.32,33,16.525034
-10.12,13,16.551231
-10.04,5,16.562742
-10.02,3,16.584772
-10.02,3,16.599803
-10.02,3,16.611837
-10.02,3,16.619998
-10.24,25,16.691029
-10.18,19,16.724127
-10.39,40,16.807788
-11.09,110,17.010171
-10.02,3,17.016172
-10.06,7,17.026233
-10.06,7,17.036315
-10.02,3,17.045812
-10.04,5,17.05332
-10.04,5,17.060834
-10.02,3,17.066833
-10.1,11,17.092371
-10.2,21,17.124644
-10.07,8,17.137154
-10.2,21,17.168694
-10.39,40,17.262102
-10.02,3,17.272607
-10.02,3,17.27859
-10.03,4,17.293608
-10.04,5,17.307643
-10.06,7,17.325663
-10.04,5,17.335171
499.79,22,17.38873
-10.11,12,17.412268
