time/fps,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/policy_loss,time/iterations,rollout/ep_len_mean,train/n_updates
211,-9.763762021108846e-10,0.0074785067699849606,-10.369299999999999,99,21000,0.1,0.0,-0.0,4200,37.93,4199
211,-7.779464681334503e-07,0.007478930056095123,-10.3572,101,21500,0.1,0.0,-0.0,4300,36.72,4299
210,-3.142799585020839e-07,0.007479397114366293,-10.3672,104,22000,0.1,0.0,-0.0,4400,37.72,4399
209,-1.2818087213872786e-07,0.007479820400476456,-10.353900000000001,107,22500,0.1,5.960464477539063e-08,-0.0,4500,36.39,4499
209,-4.770668624587415e-07,0.0074807144701480865,-10.3735,109,23000,0.1,0.0,-0.0,4600,38.35,4599
209,-1.5934143959839275e-07,0.007481376174837351,-10.405999999999999,111,23500,0.1,5.960464477539063e-08,-0.0,4700,41.6,4699
210,-6.463741328843753e-07,0.007481768727302551,-10.4147,113,24000,0.1,0.0,-0.0,4800,42.47,4799
211,-3.919520565887069e-07,0.007482172455638647,-10.418399999999998,115,24500,0.1,0.0,-0.0,4900,42.84,4899
211,-3.220481801236019e-07,0.007483191788196564,-10.444299999999998,118,25000,0.1,0.0,-0.0,5000,45.43,4999
210,-5.241283247414685e-07,0.11423017084598541,-10.433399999999999,121,25500,0.1,3.7550926208496094e-06,-0.0,5100,44.34,5099
209,-1.0052488841338914e-09,0.0074840933084487915,-10.4354,123,26000,0.1,0.0,-0.0,5200,44.54,5199
209,-1.6225433796535071e-07,0.007484450936317444,-10.4166,126,26500,0.1,0.0,-0.0,5300,42.66,5299
209,-4.869422127740108e-07,0.0074850767850875854,-10.447899999999999,128,27000,0.1,0.0,-0.0,5400,45.79,5399
210,-6.688981670777139e-07,0.11422162503004074,-10.416199999999998,130,27500,0.1,0.0,-0.0,5500,42.62,5499
211,-4.0587846683592943e-07,0.007486194372177124,-10.396300000000002,132,28000,0.1,0.0,-0.0,5600,40.63,5599
211,-6.733808959324961e-07,0.007486629765480757,-10.4072,134,28500,0.1,-1.1920928955078125e-07,-0.0,5700,41.72,5699
210,-6.747532097506337e-07,0.007487177848815918,-10.383200000000002,137,29000,0.1,0.0,-0.0,5800,39.32,5799
209,-6.872435278637568e-07,0.007487657014280558,-10.3947,140,29500,0.1,0.0,-0.0,5900,40.47,5899
209,-6.938263936717703e-07,0.11421366035938263,-10.384399999999998,143,30000,0.1,0.0,-0.0,6000,39.44,5999
209,-6.935449050615716e-07,0.007488728500902653,-10.390999999999998,145,30500,0.1,0.0,-0.0,6100,40.1,6099
210,-5.100500288790499e-07,0.007489082403481007,-10.3554,147,31000,0.1,0.0,-0.0,6200,36.54,6199
211,-5.929700250817405e-07,53.87258529663086,-10.373199999999999,149,31500,0.1,1.1920928955078125e-07,-0.0,6300,38.32,6299
211,-7.070464107528096e-07,0.11420530080795288,-10.377,151,32000,0.1,0.0,-0.0,6400,38.7,6399
