#{"t_start": 1716825818.5659237, "env_id": "None"}
r,l,t
-10.02,3,5.617891
-10.02,3,5.620892
-11.91,192,5.756155
-10.04,5,5.760661
-10.03,4,5.763666
-10.89,90,5.837269
-10.07,8,5.848786
499.92,9,5.860811
-10.02,3,5.871324
-10.08,9,5.881839
-10.09,10,5.899861
-10.05,6,5.908373
-10.03,4,5.913374
-10.05,6,5.921885
-10.03,4,5.92841
-10.05,6,5.93641
-10.02,3,5.940928
-10.06,7,5.949437
-10.02,3,5.953952
-10.06,7,5.96246
-10.02,3,5.96646
-10.03,4,5.97198
-10.05,6,5.979019
-10.02,3,5.983195
-10.05,6,5.997678
-10.02,3,6.000958
-10.02,3,6.003959
-10.04,5,6.009959
-10.04,5,6.015043
-10.03,4,6.019043
-10.02,3,6.022557
-10.02,3,6.025557
-10.04,5,6.031064
-10.02,3,6.034103
-10.04,5,6.039104
-10.02,3,6.04265
-10.02,3,6.046617
-10.02,3,6.049617
-10.02,3,6.053657
-10.02,3,6.05666
-10.61,62,6.12317
-10.02,3,6.127177
-10.02,3,6.130176
-10.04,5,6.13469
-10.03,4,6.13869
-10.02,3,6.142721
-10.02,3,6.145292
-10.06,7,6.152297
-10.06,7,6.159938
-10.04,5,6.164478
-10.02,3,6.168614
-10.04,5,6.172658
-10.02,3,6.177172
-10.04,5,6.18221
-10.03,4,6.186686
-10.02,3,6.189686
-10.06,7,6.202197
-10.03,4,6.20671
-10.03,4,6.211708
-10.02,3,6.218229
-10.04,5,6.223226
-10.02,3,6.226734
-10.02,3,6.229739
-10.02,3,6.23374
-10.03,4,6.238251
-10.02,3,6.241251
-10.03,4,6.24425
-10.95,96,6.321631
-10.03,4,6.328631
-10.4,41,6.366929
-10.04,5,6.372443
-10.04,5,6.377441
-10.04,5,6.388953
-10.04,5,6.393464
-10.02,3,6.397464
-10.08,9,6.407
-10.03,4,6.411
-10.02,3,6.414514
-10.02,3,6.418511
-10.03,4,6.422512
499.88,13,6.437544
-10.04,5,6.442549
-10.03,4,6.447052
-10.03,4,6.451052
-10.04,5,6.457114
-10.04,5,6.462079
-10.02,3,6.466616
-10.03,4,6.472623
-10.02,3,6.483127
-10.04,5,6.486631
-10.03,4,6.490638
-10.03,4,6.495635
-10.03,4,6.500149
-10.02,3,6.503149
-10.13,14,6.516664
-10.02,3,6.521175
-10.02,3,6.525177
-10.03,4,6.529685
-10.03,4,6.534693
-10.02,3,6.537686
-10.04,5,6.546198
-10.04,5,6.551719
-10.06,7,6.559737
-10.03,4,6.563742
-10.02,3,6.574255
-10.03,4,6.578255
-10.02,3,6.58177
-10.06,7,6.588768
-10.04,5,6.594283
-10.03,4,6.598284
-10.05,6,6.604794
-10.02,3,6.608796
-10.02,3,6.610795
-10.04,5,6.618309
-10.07,8,6.625822
-10.02,3,6.629823
-10.03,4,6.634333
-10.02,3,6.637335
-10.04,5,6.646848
-10.04,5,6.663371
-10.03,4,6.676399
-10.04,5,6.684399
-10.02,3,6.68791
499.93,8,6.694908
-10.02,3,6.697416
-10.03,4,6.701417
-10.05,6,6.707931
-10.03,4,6.710928
-10.02,3,6.71393
-10.02,3,6.717434
-10.03,4,6.72144
-10.02,3,6.724441
-10.02,3,6.727943
-10.05,6,6.731949
-10.04,5,6.736947
-10.02,3,6.739455
-10.02,3,6.748964
-10.04,5,6.75297
-10.02,3,6.757022
-10.04,5,6.763115
-10.03,4,6.767115
-10.02,3,6.769621
-10.05,6,6.774625
-10.07,8,6.780685
-10.02,3,6.783684
-10.04,5,6.787685
-10.02,3,6.7912
499.89,12,6.8002
