train/learning_rate,rollout/ep_len_mean,time/total_timesteps,rollout/return_std,rollout/ep_rew_mean,train/step_size,time/fps,train/delta_std,train/iterations,time/time_elapsed
0.01,3.9375,7828,0.012893592938780785,-10.029374999999998,0.09694644063711166,942,0.05,59,8
0.01,4.375,7898,0.02061518281698227,-10.03375,0.0606345534324646,942,0.05,60,8
0.01,3.75,7958,0.009309091605246067,-10.0275,0.13427552580833435,942,0.05,61,8
0.01,5.25,8042,127.4739990234375,21.832500000000003,9.805920853978023e-06,944,0.05,62,8
0.01,5.5,8130,127.49067687988281,21.83,9.804637556953821e-06,940,0.05,63,8
0.01,4.875,8208,0.025787468999624252,-10.03875,0.048472918570041656,936,0.05,64,8
0.01,3.875,8270,0.015863947570323944,-10.028749999999999,0.07879439741373062,924,0.05,65,8
0.01,3.9375,8333,0.01236568484455347,-10.029374999999998,0.10108517110347748,925,0.05,66,9
0.01,4.1875,8400,0.012763644568622112,-10.031875,0.09793344885110855,925,0.05,67,9
0.01,4.5,8472,0.017126960679888725,-10.035,0.07298380881547928,926,0.05,68,9
0.01,4.25,8540,0.01807377301156521,-10.032499999999999,0.06916050612926483,927,0.05,69,9
0.01,3.875,8602,0.0120416060090065,-10.028749999999999,0.10380567610263824,927,0.05,70,9
0.01,4.875,8680,127.46233367919922,21.83625,9.806818525248673e-06,929,0.05,71,9
0.01,4.0625,8745,0.01691870577633381,-10.030624999999999,0.07388217002153397,929,0.05,72,9
0.01,4.3125,8814,0.014930177479982376,-10.033125,0.08372235298156738,930,0.05,73,9
0.01,4.4375,8885,127.49049377441406,21.840625,9.80465210886905e-06,930,0.05,74,9
0.01,4.4375,8956,127.4798355102539,21.840624999999996,9.805472473090049e-06,927,0.05,75,9
0.01,3.875,9018,0.012582940980792046,-10.028749999999999,0.09933985769748688,924,0.05,76,9
0.01,5.1875,9101,127.45250701904297,21.833125,9.807575224840548e-06,922,0.05,77,9
0.01,4.25,9169,127.47132873535156,21.842500000000005,9.806126399780624e-06,922,0.05,78,9
0.01,7.4375,9288,0.12738242745399475,-10.064374999999998,0.009812961332499981,913,0.05,79,10
0.01,4.0625,9353,0.017689185217022896,-10.030625,0.07066414505243301,911,0.05,80,10
0.01,4.3125,9422,0.017017140984535217,-10.033124999999998,0.07345480471849442,909,0.05,81,10
0.01,5.0,9502,127.47599792480469,21.835,9.805767149373423e-06,906,0.05,82,10
0.01,4.4375,9573,127.4905014038086,21.840625000000003,9.80465210886905e-06,903,0.05,83,10
0.01,4.0,9637,127.47599792480469,21.845000000000006,9.805767149373423e-06,901,0.05,84,10
0.01,4.625,9711,127.4590072631836,21.838750000000005,9.807074093259871e-06,898,0.05,85,10
0.01,3.875,9773,127.4889907836914,21.84625,9.804768524190877e-06,896,0.05,86,10
0.01,4.625,9847,0.029860662296414375,-10.036249999999999,0.0418609194457531,893,0.05,87,11
0.01,5.5,9935,0.03577711805701256,-10.045,0.03493840992450714,891,0.05,88,11
0.01,4.9375,10014,127.46515655517578,21.835625,9.806602065509651e-06,884,0.05,89,11
0.01,4.4375,10085,0.027072394266724586,-10.034375,0.04617227986454964,884,0.05,90,11
0.01,4.125,10151,0.017464175820350647,-10.03125,0.07157458364963531,885,0.05,91,11
0.01,4.0625,10216,0.012893740087747574,-10.030625,0.09694533050060272,886,0.05,92,11
0.01,3.75,10276,0.010645698755979538,-10.0275,0.11741693317890167,886,0.05,93,11
0.01,3.5625,10333,0.008139274083077908,-10.025624999999998,0.15357398986816406,885,0.05,94,11
0.01,3.875,10395,0.013601665385067463,-10.028749999999999,0.09189967066049576,885,0.05,95,11
0.01,3.625,10453,0.007187630981206894,-10.02625,0.1739068627357483,884,0.05,96,11
0.01,4.3125,10522,0.013022366911172867,-10.033124999999998,0.09598777443170547,885,0.05,97,11
0.01,3.6875,10581,0.009464618749916553,-10.026874999999999,0.13206908106803894,885,0.05,98,11
0.01,3.6875,10640,0.010144602507352829,-10.026875,0.12321671098470688,886,0.05,99,12
0.01,3.75,10700,0.01125451922416687,-10.0275,0.11106526106595993,886,0.05,100,12
0.01,3.8125,10761,0.01223046611994505,-10.028125,0.10220274329185486,887,0.05,101,12
0.01,5.125,10843,127.4469985961914,21.833750000000002,9.807999049371574e-06,888,0.05,102,12
0.01,4.0,10907,0.015491754747927189,-10.029999999999998,0.08068743348121643,888,0.05,103,12
0.01,4.25,10975,0.013416430912911892,-10.032499999999999,0.0931684672832489,888,0.05,104,12
0.01,3.875,11037,0.010877951979637146,-10.028749999999999,0.11491002142429352,886,0.05,105,12
0.01,3.5,11093,0.008944014087319374,-10.024999999999999,0.13975632190704346,885,0.05,106,12
0.01,3.8125,11154,0.008341425098478794,-10.028125,0.14985224604606628,884,0.05,107,12
0.01,4.3125,11223,0.011383498087525368,-10.033124999999998,0.10980686545372009,885,0.05,108,12
0.01,3.75,11283,0.009999910369515419,-10.0275,0.12499956041574478,886,0.05,109,12
0.01,4.25,11351,0.014375991187989712,-10.032499999999999,0.08694976568222046,887,0.05,110,12
0.01,4.5625,11424,0.016720401123166084,-10.035625,0.07475841045379639,888,0.05,111,12
0.01,3.8125,11485,0.01167241483926773,-10.028125,0.10708894580602646,887,0.05,112,12
0.01,3.9375,11548,0.02080674096941948,-10.029374999999998,0.06007632240653038,887,0.05,113,13
0.01,3.375,11602,0.0061911228112876415,-10.02375,0.20189791917800903,887,0.05,114,13
0.01,3.6875,11661,0.009464618749916553,-10.026875,0.13206908106803894,888,0.05,115,13
0.01,4.1875,11728,0.01276386808604002,-10.031875,0.09793173521757126,889,0.05,116,13
0.01,3.9375,11791,0.011236155405640602,-10.029374999999998,0.11124677211046219,889,0.05,117,13
0.01,3.3125,11844,0.0060205524787306786,-10.023124999999999,0.2076178342103958,889,0.05,118,13
0.01,3.9375,11907,0.012893863953649998,-10.029374999999998,0.0969443991780281,889,0.05,119,13
0.01,3.9375,11970,0.0176894199103117,-10.029374999999998,0.0706632062792778,889,0.05,120,13
0.01,4.1875,12037,0.0164189375936985,-10.031875,0.07613102346658707,889,0.05,121,13
0.01,4.0,12101,0.012110510841012001,-10.03,0.1032150611281395,887,0.05,122,13
0.01,3.9375,12164,0.01289364229887724,-10.029375,0.09694606810808182,887,0.05,123,13
0.01,3.875,12226,0.013102122582495213,-10.028749999999999,0.09540347754955292,887,0.05,124,13
0.01,4.6875,12301,127.48583221435547,21.838125000000005,9.805010449781548e-06,887,0.05,125,13
0.01,4.625,12375,0.0185744296759367,-10.036249999999999,0.06729636341333389,888,0.05,126,13
0.01,3.875,12437,0.010246657766401768,-10.028749999999999,0.12198950350284576,888,0.05,127,13
0.01,4.25,12505,0.013416454195976257,-10.032499999999999,0.09316830337047577,888,0.05,128,14
0.01,3.625,12563,0.01087795291095972,-10.02625,0.11491000652313232,889,0.05,129,14
0.01,3.625,12621,0.008850419893860817,-10.02625,0.14123424887657166,889,0.05,130,14
0.01,3.875,12683,0.017841611057519913,-10.028749999999999,0.07006044685840607,889,0.05,131,14
0.01,3.75,12743,0.012909870594739914,-10.0275,0.09682419896125793,889,0.05,132,14
0.01,3.4375,12798,0.008920681662857533,-10.024375,0.14012186229228973,889,0.05,133,14
0.01,4.1875,12865,0.013275832869112492,-10.031875,0.09415517002344131,890,0.05,134,14
0.01,3.625,12923,0.01087789423763752,-10.02625,0.11491062492132187,891,0.05,135,14
0.01,3.5625,12980,0.008139274083077908,-10.025625,0.15357398986816406,891,0.05,136,14
0.01,3.875,13042,0.00957409106194973,-10.028749999999999,0.13055899739265442,891,0.05,137,14
0.01,3.625,13100,0.01204134151339531,-10.02625,0.1038079559803009,891,0.05,138,14
0.01,3.4375,13155,0.008920859545469284,-10.024375,0.1401190608739853,889,0.05,139,14
0.01,3.8125,13216,0.01641891896724701,-10.028125,0.07613110542297363,885,0.05,140,14
0.01,3.9375,13279,0.01181447971612215,-10.029375,0.10580125451087952,885,0.05,141,14
0.01,3.75,13339,0.013416311703622341,-10.0275,0.09316929429769516,886,0.05,142,15
0.01,4.0625,13404,0.01526113972067833,-10.030625,0.08190670609474182,886,0.05,143,15
0.01,3.875,13466,0.00957399234175682,-10.028749999999999,0.13056033849716187,886,0.05,144,15
0.01,6.3125,13567,0.11435121297836304,-10.053124999999998,0.010931223630905151,887,0.05,145,15
0.01,4.1875,13634,0.015151782892644405,-10.031875,0.08249786496162415,888,0.05,146,15
0.01,3.625,13692,0.010878128930926323,-10.02625,0.11490815132856369,888,0.05,147,15
0.01,3.75,13752,0.011254576034843922,-10.0275,0.11106470227241516,889,0.05,148,15
0.01,4.125,13818,0.017078008502721786,-10.03125,0.0731930062174797,889,0.05,149,15
0.01,4.0625,13883,127.48416900634766,21.844375,9.805138688534498e-06,889,0.05,150,15
0.01,4.3125,13952,0.010782198049128056,-10.033124999999998,0.11593049019575119,889,0.05,151,15
0.01,3.75,14012,0.012382682412862778,-10.0275,0.10094641149044037,890,0.05,152,15
0.01,5.75,14104,0.08402378857135773,-10.0475,0.014876716770231724,891,0.05,153,15
0.01,3.75,14164,0.013416170142591,-10.0275,0.09317027777433395,891,0.05,154,15
0.01,3.8125,14225,0.007499949540942907,-10.028125,0.16666501760482788,892,0.05,155,15
0.01,3.875,14287,0.01360147725790739,-10.028749999999999,0.09190093725919724,889,0.05,156,16
0.01,3.9375,14350,0.016520004719495773,-10.029374999999998,0.07566526532173157,888,0.05,157,16
0.01,3.3125,14403,0.00793201383203268,-10.023124999999999,0.15758675336837769,888,0.05,158,16
0.01,4.0,14467,0.008164997212588787,-10.03,0.15309017896652222,889,0.05,159,16
0.01,3.875,14529,0.011474651284515858,-10.028749999999999,0.10893458127975464,889,0.05,160,16
0.01,3.875,14591,0.019621558487415314,-10.028749999999999,0.06370503455400467,889,0.05,161,16
0.01,3.9375,14654,0.00853897724300623,-10.029374999999998,0.14638541638851166,888,0.05,162,16
0.01,4.0625,14719,127.48416900634766,21.844375,9.805138688534498e-06,887,0.05,163,16
0.01,3.875,14781,0.0120416060090065,-10.028749999999999,0.10380567610263824,888,0.05,164,16
0.01,3.75,14841,0.009309296496212482,-10.0275,0.13427257537841797,887,0.05,165,16
0.01,3.5625,14898,0.006291104480624199,-10.025624999999998,0.1986892968416214,886,0.05,166,16
0.01,4.5,14970,0.014142166823148727,-10.035,0.0883873701095581,885,0.05,167,16
0.01,3.5,15026,0.0073026991449296474,-10.024999999999999,0.17116665840148926,885,0.05,168,16
0.01,3.5625,15083,0.00963924452662468,-10.025624999999998,0.12967653572559357,885,0.05,169,17
0.01,3.5,15139,0.010327822528779507,-10.024999999999999,0.12103082239627838,885,0.05,170,17
0.01,3.5625,15196,0.008139274083077908,-10.025624999999998,0.15357398986816406,885,0.05,171,17
0.01,3.625,15254,0.01024684403091669,-10.02625,0.12198729068040848,882,0.05,172,17
0.01,5.1875,15337,0.05946645140647888,-10.041875,0.021020209416747093,882,0.05,173,17
0.01,9.375,15487,0.2230958491563797,-10.08375,0.005602969788014889,884,0.05,174,17
0.01,4.5625,15560,127.48817443847656,21.839375000000004,9.804831279325299e-06,883,0.05,175,17
0.01,4.1875,15627,0.02136000245809555,-10.031875,0.058520250022411346,883,0.05,176,17
0.01,3.625,15685,0.008850455284118652,-10.02625,0.1412336826324463,882,0.05,177,17
0.01,3.5625,15742,0.008139274083077908,-10.025624999999998,0.15357398986816406,882,0.05,178,17
0.01,3.75,15802,0.009999815374612808,-10.0275,0.1250007450580597,882,0.05,179,17
0.01,3.5,15858,0.006324197631329298,-10.024999999999999,0.19764962792396545,882,0.05,180,17
0.01,3.6875,15917,0.008731914684176445,-10.026874999999999,0.14315097033977509,882,0.05,181,18
0.01,4.125,15983,0.010246720165014267,-10.03125,0.12198877334594727,881,0.05,182,18
0.01,3.4375,16038,0.006291255354881287,-10.024375,0.19868452847003937,881,0.05,183,18
0.01,3.8125,16099,0.011086652986705303,-10.028125,0.11274691671133041,881,0.05,184,18
0.01,3.9375,16162,0.009286881424486637,-10.029374999999998,0.13459666073322296,880,0.05,185,18
0.01,4.0,16226,0.012110615149140358,-10.03,0.10321416705846786,878,0.05,186,18
0.01,4.0625,16291,127.48416900634766,21.844375,9.805138688534498e-06,878,0.05,187,18
0.01,3.6875,16350,0.011383498087525368,-10.026875,0.10980686545372009,878,0.05,188,18
0.01,3.6875,16409,0.007931813597679138,-10.026875,0.15759073197841644,878,0.05,189,18
0.01,4.3125,16478,0.019905826076865196,-10.033125,0.06279528886079788,877,0.05,190,18
0.01,4.125,16544,0.010878215543925762,-10.03125,0.11490723490715027,876,0.05,191,18
0.01,3.6875,16603,0.014930368401110172,-10.026875,0.08372127264738083,876,0.05,192,18
0.01,4.1875,16670,0.01515207625925541,-10.031875,0.0824962630867958,876,0.05,193,19
0.01,3.6875,16729,127.48316192626953,21.848125000000003,9.80521690507885e-06,876,0.05,194,19
0.01,8.25,16861,0.1835029423236847,-10.072499999999998,0.006811875384300947,876,0.05,195,19
0.01,3.75,16921,0.010645638220012188,-10.0275,0.1174175962805748,876,0.05,196,19
0.01,4.0,16985,0.010327883996069431,-10.03,0.12103009968996048,876,0.05,197,19
0.01,4.375,17055,127.4903335571289,21.841250000000002,9.804664841794875e-06,876,0.05,198,19
0.01,3.625,17113,0.00957425870001316,-10.02625,0.13055670261383057,875,0.05,199,19
