#{"t_start": 1716827975.584776, "env_id": "None"}
r,l,t
-10.04,5,51.472849
-10.33,34,51.597383
-10.1,11,51.635588
-10.53,54,51.836807
-10.17,18,51.905033
-10.14,15,51.990433
-10.12,13,52.06888
-10.12,13,52.140738
-10.36,37,52.268752
-10.52,53,52.478657
-10.07,8,52.508887
-10.16,17,52.56907
-10.41,42,52.723882
-10.27,28,52.851005
-10.08,9,52.910579
-10.9,91,53.486959
-10.26,27,53.625509
-10.05,6,53.668213
-10.07,8,53.71014
-11.35,136,54.577198
-10.12,13,54.644632
-10.34,35,54.825205
-10.5,51,55.131585
-10.72,73,55.553372
-10.08,9,55.658847
-10.47,48,55.8813
-10.25,26,56.02497
-10.29,30,56.211115
-10.28,29,56.375092
-10.13,14,56.452782
-10.1,11,56.512212
-11.42,143,57.408895
-10.73,74,57.832057
-11.44,145,58.642104
-10.19,20,58.74039
-10.19,20,58.837712
-10.23,24,58.949076
-10.07,8,58.99194
-10.32,33,59.223235
-10.23,24,59.365137
-10.2,21,59.496685
-10.57,58,59.784443
-10.61,62,60.093541
-11.0,101,60.695611
-10.19,20,60.792848
-10.17,18,60.87617
-10.18,19,60.974756
-10.15,16,61.053847
-10.1,11,61.107848
-10.28,29,61.244668
-10.92,93,61.792306
-10.96,97,62.233638
-11.04,105,62.690898
-10.98,99,63.11082
-10.14,15,63.168191
-10.05,6,63.193251
-10.55,56,63.420015
-10.37,38,63.555493
-10.22,23,63.639924
-10.56,57,63.848069
-10.15,16,63.993625
-10.42,43,64.149806
-10.14,15,64.206623
-10.59,60,64.4242
-10.28,29,64.531382
-10.37,38,64.665157
-10.17,18,64.733338
-10.4,41,64.879259
-10.31,32,64.998014
-10.21,22,65.116473
-10.11,12,65.192388
-10.42,43,65.362449
-10.32,33,65.483687
-10.71,72,65.741232
-10.55,56,65.94399
-10.65,66,66.180668
-10.23,24,66.309981
-10.33,34,66.474146
-10.41,42,66.620568
-10.16,17,66.686984
-10.47,48,66.861317
-10.36,37,66.996521
-10.38,39,67.151535
-11.01,102,67.600913
-10.47,48,67.782168
-10.23,24,67.861949
-10.2,21,67.946401
-10.15,16,68.004595
-11.3,131,68.474591
-10.05,6,68.493604
-11.05,106,68.948137
-10.54,55,69.160125
-10.34,35,69.288237
-10.39,40,69.428205
-10.55,56,69.641354
-10.35,36,69.77661
-10.38,39,70.042638
-10.86,87,70.514905
-10.1,11,70.570231
-10.09,10,70.628515
-10.36,37,70.858015
-10.69,70,71.284547
-10.87,88,71.74125
-10.42,43,72.001922
-10.28,29,72.168319
-10.57,58,72.497763
-10.11,12,72.562911
-10.26,27,72.693356
-10.24,25,72.828145
-10.86,87,73.295268
-10.07,8,73.346558
-10.28,29,73.555136
-10.26,27,73.725548
-10.82,83,74.203236
-10.54,55,74.520424
-12.22,223,75.752629
-10.24,25,75.918911
-10.05,6,75.963875
-10.24,25,76.130515
-10.34,35,76.329095
-10.38,39,76.5169
-10.29,30,76.669276
-10.34,35,76.840558
-10.32,33,77.012054
-10.18,19,77.14849
-10.66,67,77.528912
-10.09,10,77.578402
-10.19,20,77.67758
-10.09,10,77.727652
-10.14,15,77.799351
-10.22,23,77.909529
-10.14,15,77.985374
-10.63,64,78.324236
-10.32,33,78.54403
-10.11,12,78.617389
-10.48,49,78.84674
-10.23,24,78.941572
-10.6,61,79.173765
-10.14,15,79.226855
-10.16,17,79.291938
-10.25,26,79.381081
-11.13,114,79.903545
-11.48,149,80.457241
-10.3,31,80.567376
-12.25,226,81.475655
-10.28,29,81.576994
-10.27,28,81.676762
-10.39,40,81.819687
-10.54,55,82.108517
-10.4,41,82.259696
-10.08,9,82.285221
-10.14,15,82.339604
-10.62,63,82.567815
-10.08,9,82.601377
-10.77,78,82.874075
-10.08,9,82.910582
-11.09,110,83.394558
-11.04,105,83.790128
-10.16,17,83.861228
-10.3,31,83.98639
-10.05,6,84.005405
-10.3,31,84.115557
-10.12,13,84.167279
-10.29,30,84.273477
-10.21,22,84.433188
-10.3,31,84.574212
-10.27,28,84.674587
-10.35,36,84.804159
-10.2,21,84.878079
-10.52,53,85.070456
-10.33,34,85.196071
-10.74,75,85.487858
-10.09,10,85.52413
-10.93,94,85.955649
-10.57,58,86.159233
-10.28,29,86.265018
-11.5,151,87.006329
-10.21,22,87.123487
-10.19,20,87.245064
-10.1,11,87.311868
-10.24,25,87.463958
-10.57,58,87.814605
-10.56,57,88.199819
-10.17,18,88.282738
-10.22,23,88.429379
-10.17,18,88.539407
-10.47,48,88.828753
-10.23,24,88.962698
-10.14,15,89.028388
-10.81,82,89.55003
-10.39,40,89.790322
-10.59,60,90.146785
-10.1,11,90.210469
-10.3,31,90.448372
-10.12,13,90.508658
-10.36,37,90.711838
-10.07,8,90.758158
-10.26,27,90.917157
-10.44,45,91.167336
-10.34,35,91.363485
-10.54,55,91.729668
-10.1,11,91.789924
-10.49,50,92.086452
-11.38,139,92.831869
-10.23,24,92.976313
-10.61,62,93.289537
-10.14,15,93.363067
-10.27,28,93.507058
-10.38,39,93.693671
-10.16,17,93.782528
-10.23,24,93.940408
-10.2,21,94.07981
-10.22,23,94.205456
-10.97,98,94.696566
-10.15,16,94.774205
-10.16,17,94.862723
-10.18,19,94.948431
-10.48,49,95.239786
-10.11,12,95.303907
-10.24,25,95.443885
-10.26,27,95.569995
-10.59,60,95.860426
-10.27,28,96.000896
-10.19,20,96.079696
-10.33,34,96.196021
-10.23,24,96.300006
-10.33,34,96.500818
-10.86,87,96.805811
-10.2,21,96.893691
-10.35,36,97.022729
-10.11,12,97.065042
-10.35,36,97.190229
-10.27,28,97.316825
-10.65,66,97.593604
-10.07,8,97.664678
-10.54,55,97.86327
-10.39,40,98.005842
-10.52,53,98.195344
-10.78,79,98.487091
-10.26,27,98.587677
-10.43,44,98.779384
-10.31,32,98.946189
-10.11,12,98.986224
-10.38,39,99.133513
-10.3,31,99.240165
-10.46,47,99.410983
-10.12,13,99.452653
-10.6,61,99.669303
-10.4,41,99.822273
-10.61,62,100.12674
-10.26,27,100.218432
-10.39,40,100.368212
-10.52,53,100.560975
-10.77,78,100.842689
-10.08,9,100.871212
-10.24,25,100.963556
-10.35,36,101.097206
-10.27,28,101.278494
-10.14,15,101.347445
-10.42,43,101.505701
-10.29,30,101.613518
-10.8,81,101.903545
-10.28,29,102.008034
-10.27,28,102.105316
-10.27,28,102.218553
-10.2,21,102.301012
-10.3,31,102.481866
-10.26,27,102.596746
-10.48,49,102.772094
-10.12,13,102.814138
-10.78,79,103.096788
-10.16,17,103.152848
-10.03,4,103.168357
-10.09,10,103.206399
-11.93,194,104.125574
-10.21,22,104.254124
-10.25,26,104.421337
-10.44,45,104.685436
-10.13,14,104.776697
-10.81,82,105.267235
-10.13,14,105.349635
-10.16,17,105.450525
-10.17,18,105.554343
-10.4,41,105.773078
-10.28,29,105.960404
-10.55,56,106.277432
-10.53,54,106.598567
-10.16,17,106.685428
-10.51,52,106.993317
-10.67,68,107.407032
-10.32,33,107.574979
-10.18,19,107.672212
-10.32,33,107.866223
-11.18,119,108.590794
-10.14,15,108.678032
-10.56,57,108.955159
-10.12,13,109.020497
-10.15,16,109.099134
-10.2,21,109.203184
-10.16,17,109.292833
-10.09,10,109.342057
-10.25,26,109.485731
-10.35,36,109.746762
-10.27,28,109.895971
-11.42,143,110.599885
-10.71,72,111.036654
-10.25,26,111.162939
-10.06,7,111.194534
-10.81,82,111.603507
-10.5,51,111.874266
-11.74,175,112.766802
-10.46,47,112.933543
-10.88,89,113.35108
-10.35,36,113.482891
-10.49,50,113.658744
-10.42,43,113.81649
-10.38,39,113.955383
-10.25,26,114.046857
-10.47,48,114.211848
-10.75,76,114.580067
-10.98,99,114.943778
-10.16,17,115.008703
-10.62,63,115.230866
-10.25,26,115.329087
-10.61,62,115.604395
-10.36,37,115.764824
-10.51,52,115.957601
-10.18,19,116.028228
-10.16,17,116.086342
-10.08,9,116.118871
-10.77,78,116.403528
-10.26,27,116.503523
-10.69,70,116.870062
-10.4,41,117.017621
-10.46,47,117.18374
-10.31,32,117.304724
-10.28,29,117.409297
-10.03,4,117.41985
-10.14,15,117.473259
-10.43,44,117.63458
-10.22,23,117.720187
-10.4,41,117.870735
-10.72,73,118.230348
-11.0,101,118.591735
-11.33,134,119.094106
-11.11,112,119.582212
-11.01,102,119.958065
-10.96,97,120.500347
-10.06,7,120.531046
-10.67,68,120.896263
-10.16,17,120.988171
-10.13,14,121.06874
-10.16,17,121.171409
-10.7,71,121.666559
-10.53,54,121.932058
-10.2,21,122.07083
-10.04,5,122.102431
-10.2,21,122.2307
-10.6,61,122.606311
-10.14,15,122.718892
-10.5,51,123.014885
-10.18,19,123.117704
